Sr.No,Roundïŋ―??,Instituteïŋ―??,Programïŋ―??,Streamïŋ―??,Quotaïŋ―??,Categoryïŋ―??,Seat Genderïŋ―??,Opening Rankïŋ―??,Closing Rankïŋ―??,Remarkïŋ―??
1,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC,Both Male and Female Seats,1297544,1297544,Fresh Only
2,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,360465,1045039,Fresh Only
3,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,425166,541462,Fresh Only
4,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,135498,148378,Fresh Only
5,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,188704,229921,Fresh Only
6,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Information Technology,B.Tech,Home State,BC(Girl),Female Seats,288879,420038,Fresh Only
7,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Civil Engineering,B.Tech,Home State,SC(Girl),Female Seats,758096,991302,Fresh Only
8,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Civil Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,793810,793810,Fresh Only
9,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,442622,549967,Fresh Only
10,Round 1,"Lucknow University, Lucknow",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,271094,271094,Fresh Only
11,Round 1,"VISHVESHWARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,Home State,OPEN,Both Male and Female Seats,1050567,1050567,Fresh Only
12,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,851336,851336,Fresh Only
13,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,675659,675659,Fresh Only
14,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,642040,881069,Fresh Only
15,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,93836,144400,Fresh Only
16,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,420860,420860,Fresh Only
17,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,Home State,BC(Girl),Female Seats,1065238,1065238,Fresh Only
18,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science & Engineering (Artificial Intelligence & data Science),B.Tech,Home State,BC(Girl),Female Seats,562630,647328,Fresh Only
19,Round 1,Maharaja Suhel Dev State University Azamgarh.,Computer Science Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,613140,766267,Fresh Only
20,Round 1,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,145237,392146,Fresh Only
21,Round 1,"Bundelkhand University, Jhansi",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,431104,505085,Fresh Only
22,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,SC(Girl),Female Seats,198610,214288,Fresh Only
23,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,1286851,1360451,Fresh Only
24,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),B.Tech,Home State,BC(Girl),Female Seats,220135,255085,Fresh Only
25,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,544039,544039,Fresh Only
26,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,550659,916770,Fresh Only
27,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Business System,B.Tech,Home State,EWS(GL),Female Seats,614920,614920,Fresh Only
28,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,227065,1439930,Fresh Only
29,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication (Advanced Communication Technology) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,217105,232049,Fresh Only
30,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Biotechnology,B.Tech,Home State,BC(Girl),Female Seats,569892,892173,Fresh Only
31,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,896357,1428442,Fresh Only
32,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,410392,856172,Fresh Only
33,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science,B.Tech,Home State,BC(AF),Both Male and Female Seats,293811,299305,Fresh Only
34,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,245381,803454,Fresh Only
35,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,180901,180901,Fresh Only
36,Round 1,"RAJKIYA ENGINEERING COLLEGE,BANDA",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,122344,138901,Fresh Only
37,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1166402,1166402,Fresh Only
38,Round 1,"CENTRE FOR ADVANCE STUDIES,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,56747,83788,Fresh Only
39,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,BC(Girl),Female Seats,401731,478327,Fresh Only
40,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science,B.Tech,Home State,BC,Both Male and Female Seats,467767,574408,Fresh Only
41,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,607859,1375811,Fresh Only
42,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,473430,951451,Fresh Only
43,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,183993,1450189,Fresh Only
44,Round 1,"BABU SUNDER SINGH INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Artificial Intelligence And Machine Learning,B.Tech,Home State,OPEN(GIRL),Female Seats,222612,1029688,Fresh Only
45,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science & Engineering (Cyber Security),B.Tech,Home State,OPEN,Both Male and Female Seats,473595,882140,Fresh Only
46,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Design,B.Tech,Home State,OPEN,Both Male and Female Seats,385382,1360947,Fresh Only
47,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,67710,105585,Fresh Only
48,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,131225,515725,Fresh Only
49,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,346657,535999,Fresh Only
50,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,74829,185576,Fresh Only
51,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(AF),Both Male and Female Seats,346671,346671,Fresh Only
52,Round 1,"MADHU VACHASPATI INSTITUTE OF ENGINEERING & TECHNOLOGY,KAUSHAMBI",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,893084,893084,Fresh Only
53,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,129360,193238,Fresh Only
54,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,259347,295587,Fresh Only
55,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,284805,324967,Fresh Only
56,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,1426733,1426733,Fresh Only
57,Round 1,"Lucknow University, Lucknow",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,178883,178883,Fresh Only
58,Round 1,"BHARAT RATNA BABA SAHEB BHIM RAO AMBEDKAR RAJKIYA ENGINEERING COLLEGE, PRATAPGARH",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,989473,989473,Fresh Only
59,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,532682,586826,Fresh Only
60,Round 1,"MORADABAD INSTITUTE OF TECHNOLOGY,MORADABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,543961,914653,Fresh Only
61,Round 1,"JAHANGIRABAD EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS, FACULTY OF ENGINEERING,BARABANKI",Artificial Intelligence And Machine Learning,B.Tech,Home State,OPEN,Both Male and Female Seats,294461,1357723,Fresh Only
62,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering,B.Tech,Home State,ST(Girl),Female Seats,363986,363986,Fresh Only
63,Round 1,"MAA PATESHWARI DEVI RAJKIYA ENGINEERING COLLEGE, GONDA",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1288567,1457825,Fresh Only
64,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,347573,706922,Fresh Only
65,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,160643,175537,Fresh Only
66,Round 1,"MODERN COLLEGE, JHANSI",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,308628,308628,Fresh Only
67,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,368796,920030,Fresh Only
68,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science & Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,708069,1196069,Fresh Only
69,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,OPEN,Both Male and Female Seats,14861,40786,Fresh Only
70,Round 1,Ch. Charan Singh University Campus (SCRIET) Meerut,Chemical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,702523,1013201,Fresh Only
71,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,365447,365447,Fresh Only
72,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Electronics Engineering,B.Tech,Home State,EWS(GL),Female Seats,210461,219659,Fresh Only
73,Round 1,"ASHOKA INSTITUTE OF TECHNOLOGY & MANAGEMENT,VARANASI",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,1157566,1157566,Fresh Only
74,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,669721,1462105,Fresh Only
75,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1101080,1451975,Fresh Only
76,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(Girl),Female Seats,1025901,1025901,Fresh Only
77,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,160474,202849,Fresh Only
78,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering,B.Tech,Home State,BC(PH),Both Male and Female Seats,654756,654756,Fresh Only
79,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,412908,469717,Fresh Only
80,Round 1,"Lucknow University, Lucknow",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,190750,218549,Fresh Only
81,Round 1,"MAA PATESHWARI DEVI RAJKIYA ENGINEERING COLLEGE, GONDA",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,895024,1118584,Fresh Only
82,Round 1,"Lucknow University, Lucknow",Computer Science & Engineering (Artificial Intelligence),B.Tech,Home State,SC,Both Male and Female Seats,205546,337279,Fresh Only
83,Round 1,"AMANI GROUP OF INSTITUTIONS,AMROHA",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,753201,1086869,Fresh Only
84,Round 1,"HINDUSTAN COLLEGE OF SCIENCE & TECHNOLOGY,MATHURA",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,813869,813869,Fresh Only
85,Round 1,"Lucknow University, Lucknow",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,424523,493662,Fresh Only
86,Round 1,"KCC INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Artificial Intelligence And Machine Learning,B.Tech,Home State,OPEN,Both Male and Female Seats,418146,1060059,Fresh Only
87,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,507887,623171,Fresh Only
88,Round 1,"SAMRAT ASHOK RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,469006,522768,Fresh Only
89,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,699519,825610,Fresh Only
90,Round 1,"HI-TECH. INSTITUTE OF ENGINEERING &TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,391986,1172838,Fresh Only
91,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical and Computer Engineering,B.Tech,Home State,BC,Both Male and Female Seats,307009,380890,Fresh Only
92,Round 1,"DR.M.C.SAXENA COLLEGE OF ENGG. & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,1403344,1403344,Fresh Only
93,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Mechanical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,487986,616687,Fresh Only
94,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,189728,733851,Fresh Only
95,Round 1,"I.I.M.T. ENGG. COLLEGE,MEERUT",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,141473,689934,Fresh Only
96,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1205897,1306035,Fresh Only
97,Round 1,"INDERPRASTHA ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,156437,548737,Fresh Only
98,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering (Artificial Intelligence & Finance Management),B.Tech,Home State,SC,Both Male and Female Seats,523934,787382,Fresh Only
99,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(Girl),Female Seats,1255938,1255938,Fresh Only
100,Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,570443,1261426,Fresh Only
101,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,155628,195084,Fresh Only
102,Round 1,"Bundelkhand University, Jhansi",Biotechnology,B.Tech,Home State,OPEN(GIRL),Female Seats,239721,384241,Fresh Only
103,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,255434,338190,Fresh Only
104,Round 1,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1197621,1197621,Fresh Only
105,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,173257,197366,Fresh Only
106,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,205888,242526,Fresh Only
107,Round 1,"M. J. P. Ruhelkhand University, Bareilly",Electronics and Communication Engineering,B.Tech,Home State,SC(Girl),Female Seats,561853,595820,Fresh Only
108,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,136428,139151,Fresh Only
109,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,B.Tech,Home State,SC(Girl),Female Seats,760455,930703,Fresh Only
110,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics Engineering (VLSI Design and Technology),B.Tech,Home State,EWS(GL),Female Seats,764724,764724,Fresh Only
111,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1007122,1405153,Fresh Only
112,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electronics Engineering,B.Tech,Home State,EWS(GL),Female Seats,305732,305732,Fresh Only
113,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,54014,55536,Fresh Only
114,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science,B.Tech,Home State,EWS(GL),Female Seats,988676,1112612,Fresh Only
115,Round 1,"UNITED COLLEGE OF ENGINEERING & RESEARCH,ALLAHABAD",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,321241,1379400,Fresh Only
